Continent,Country,City,Airport Name,IATA,ICAO,Latitude,Longitude,Timezone
Africa,Algeria,,Bou Saada Airport,BUJ,DAAD,35.3325,4.20639,Africa/Algiers
Africa,Algeria,,Hassi R'Mel Airport,HRM,DAFH,32.9304,3.31154,Africa/Algiers
Africa,Algeria,,Tafaraoui Airport,TAF,DAOL,35.5424,-0.53228,Africa/Algiers
Africa,Algeria,,Sidi Bel Abbes Airport,BFW,DAOS,35.1718,-0.59328,Africa/Algiers
Africa,Algeria,,Ghriss Airport,MUW,DAOV,35.2077,0.14714,Africa/Algiers
Africa,Algeria,,Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,DAUA,27.8376,-0.18641,Africa/Algiers
Africa,Algeria,,El Golea Airport,ELG,DAUE,30.5713,2.85959,Africa/Algiers
Africa,Algeria,Algiers,Houari Boumediene Airport,ALG,DAAG,36.691,3.21541,Africa/Algiers
Africa,Algeria,Amenas,In Amenas Airport,IAM,DAUZ,28.0515,9.64291,Africa/Algiers
Africa,Algeria,Annabah,Annaba Airport,AAE,DABB,36.8222,7.80917,Africa/Algiers
Africa,Algeria,Batna,Batna Airport,BLJ,DABT,35.7521,6.30859,Africa/Algiers
Africa,Algeria,Bechar,Bechar Boudghene Ben Ali Lotfi Airport,CBH,DAOR,31.6457,-2.26986,Africa/Algiers
Africa,Algeria,Bejaia,Soummam Airport,BJA,DAAE,36.712,5.06992,Africa/Algiers
Africa,Algeria,Biskra,Biskra Airport,BSK,DAUB,34.7933,5.73823,Africa/Algiers
Africa,Algeria,Bordj Badji Mokhtar,Bordj Badji Mokhtar Airport,BMW,DATM,21.375,0.92389,Africa/Algiers
Africa,Algeria,Chlef,Chlef Aboubakr Belkaid Airport,CFK,DAOI,36.216828,1.340739,Africa/Algiers
Africa,Algeria,Constantine,Mohamed Boudiaf International Airport,CZL,DABC,36.276,6.62039,Africa/Algiers
Africa,Algeria,Djanet,Djanet Inedbirene Airport,DJG,DAAJ,24.2928,9.45244,Africa/Algiers
Africa,Algeria,El Bayadh,El Bayadh Airport,EBH,DAOY,33.72167,1.0925,Africa/Algiers
Africa,Algeria,Ghardaia,Noumerat - Moufdi Zakaria Airport,GHA,DAUG,32.3841,3.79411,Africa/Algiers
Africa,Algeria,Guemar,Guemar Airport,ELU,DAUO,33.5114,6.77679,Africa/Algiers
Africa,Algeria,Hassi Messaoud,Oued Irara Airport,HME,DAUH,31.673,6.14044,Africa/Algiers
Africa,Algeria,Illizi,Illizi Takhamalt Airport,VVZ,DAAP,26.7235,8.62265,Africa/Algiers
Africa,Algeria,In Guezzam,In Guezzam Airport,INF,DATG,19.567,5.75,Africa/Algiers
Africa,Algeria,In Salah,In Salah Airport,INZ,DAUI,27.251,2.51202,Africa/Algiers
Africa,Algeria,Jijel,Jijel Ferhat Abbas Airport,GJL,DAAV,36.7951,5.87361,Africa/Algiers
Africa,Algeria,Laghouat,Laghouat Airport,LOO,DAUL,33.7644,2.92834,Africa/Algiers
Africa,Algeria,Mecheria,Mecheria Airport,MZW,DAAY,33.5359,-0.24235,Africa/Algiers
Africa,Algeria,Oran,Es Senia Airport,ORN,DAOO,35.6239,-0.62118,Africa/Algiers
Africa,Algeria,Ouargla,Ain el Beida Airport,OGX,DAUU,31.9172,5.41278,Africa/Algiers
Africa,Algeria,Setif,Ain Arnat Airport,QSF,DAAS,36.1781,5.32449,Africa/Algiers
